week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
23rd week,Andaman and Nicobar Islands,Andaman,Acute Diarrhoeal Disease,-0.102971087,-0.152088036,6,6,2019,13.51111965,92.91738842,0.497370665,3.213258759,-0.424351806
41st week,Andaman and Nicobar Islands,Andaman,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,9,10,2019,13.51111965,92.91738842,-0.500612161,4.521789012,-0.850170277
51st week,Andaman and Nicobar Islands,North and Middle Andaman,Acute Diarrhoeal Disease,-0.003298029,-0.152088036,16,12,2013,12.61123865,92.83165406,-0.439247607,6.121103766,-0.957129406
24th week,Andhra Pradesh,Anantapur,Malaria,-0.026299504,-0.152088036,9,6,2010,14.6546235,77.55625984,-0.333641335,0,1.006731208
25th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.083803191,-0.152088036,26,6,2011,14.6546235,77.55625984,-0.696351866,0,0.498927558
25th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.083803191,-0.152088036,26,6,2011,14.6546235,77.55625984,-0.696351866,0,0.498927558
26th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.008409468,-0.152088036,26,6,2011,14.6546235,77.55625984,-0.696351866,0,0.498927558
35th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,3,9,2011,14.6546235,77.55625984,-0.336695056,-0.56693975,0
21st week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,18,5,2012,14.6546235,77.55625984,-0.607918053,-1.148508752,1.252686776
51st week,Andhra Pradesh,Anantapur,Cholera,-0.083803191,-0.152088036,20,12,2012,14.6546235,77.55625984,-0.740609176,-0.712332001,0.232538758
23rd week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.037800241,-0.152088036,4,6,2013,14.6546235,77.55625984,-0.426511521,-1.293901002,0
32nd week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.069746734,0.523148237,5,8,2013,14.6546235,77.55625984,-0.685889059,0,0.620013376
26th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,27,6,2014,14.6546235,77.55625984,-0.729778176,-1.148508752,0.511792926
25th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.022465924,-0.152088036,15,6,2015,14.6546235,77.55625984,-0.485575466,-0.857724251,1.305661822
22nd week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,2,6,2016,14.6546235,77.55625984,-0.584989709,-1.003116501,1.207279594
8th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,5,3,2021,14.6546235,77.55625984,-0.740704047,0,1.315651402
9th week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,5,3,2021,14.6546235,77.55625984,-0.740704047,0,1.315651402
15th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,3,4,2010,13.1601048,79.15555062,-0.659132458,-0.56693975,0.960869954
18th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,27,4,2010,13.1601048,79.15555062,-0.728975283,-0.56693975,0.806485536
20th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.065913155,-0.152088036,17,5,2010,13.1601048,79.15555062,-0.737042396,0,0.928176783
21st week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.056968137,-0.152088036,19,5,2010,13.1601048,79.15555062,-0.686478341,0.014629251,0.817534617
